job_title,salary_usd,years_of_experience,city,jd
Executive Assistant to Chief Executive Officer,400.0,2.0,Ninh Binh,"Represent the CEO in welcoming clients and organizing company events.
Manage the CEO's schedule, plan meetings and conferences.
Coordinate travel for the CEO, including flights, transportation, and accommodation.
Handle phone calls, messages, emails, and important correspondence for stakeholders.
Manage electronic and physical documents and records.
Implement tasks from superiors to departments, and prepare periodic or ad-hoc reports for the CEO and other departments."
Head of Sales - Beauty Division,2000.0,3.0,Ho Chi Minh City,"Lead and manage the sales team in the beauty division.
Leverage AI technology to analyze customer data and optimize marketing and sales strategies.
Develop and deliver training programs on selling skills and AI tool usage.
Assess marketing campaign performance and adjust strategies based on AI-driven analytics.
Build and maintain durable customer relationships by understanding clients’ needs and goals.
Recruit, set targets, train, and monitor performance of the sales team.
Identify potential markets and monitor market trends, while staying updated on competitors and new products."
Senior ReactJS Developer,800.0,4.0,"Hanoi, Vietnam","Architect and implement new features to enhance service quality.
Lead and mentor team members; help teammates understand complex logic.
Prepare documentation, adjust schedules, and prioritize tasks in collaboration with Product Management.
Develop new features and improve existing ones; ensure product quality through unit tests and code reviews.
Work with modern web technologies including ReactJS and VueJS; develop REST APIs, Node.js, HTML5, and CSS3.
Experience with data visualization systems and handling complex codebases; develop web and mobile applications.
Collaborate effectively in a team and maintain dependable performance."
Head of Sales,1200.0,0.0,Hanoi,"Advise and guide clients on projects, handle transaction procedures, negotiate and sign contracts, and compile and report market status in Real Estate.
Develop and execute business plans, and propose solutions to maintain and drive revenue while controlling costs to meet targets.
Create telesales, direct sales, and client outreach scripts; demonstrate strong customer care skills.
Drive sales ability across the team, ensure team revenue, and assign tasks, supervise, train, and support sales staff.
Support and monitor the implementation of business plans; report results, revenue, and costs regularly.
Requirements: at least 1 year of experience in Real Estate and at least 1 year in a similar role; strong management skills and market knowledge; understanding of planning and legal aspects; self-motivated with goal setting and execution; computer and transportation access; ability to work under high pressure; strong communication, negotiation, and problem-solving skills."
Business Analyst (Japanese),700.0,2.0,Hanoi,"Gather business and system requirements from partners in the finance field across regions.
Understand and analyze requirements from both business and end-user perspectives.
Create Basic Design based on analyzed requirements.
Work with the development team to review specifications, address Q&A, and assess solutions.
Support the project manager in task assignment and ensuring smooth project progress.
Assist in testing and verify bugs/issues before handover to the client."
Product Director,1600.0,2.0,Hanoi,"Develop product development plans by researching markets and user needs, defining product goals and roadmaps, and managing the product development process; communicate direction clearly to the product team and use data analytics to measure quality and drive continuous improvement.
Lead Go-to-Market activities with a focus on marketing-led deployment, coordinating with Sales/Marketing to bring products to users, and prioritizing customer care and organic growth through word-of-mouth.
Manage relationships with banking partners and sales agents; collaborate with Partnerships to align collaborations with the product roadmap and company targets; design promotional programs and business models to expand sales channels.
Translate product strategy into actionable initiatives; ensure cross-functional alignment across relevant departments and monitor progress against milestones.
Requirements include at least 2 years of enterprise client business development experience; solid understanding of accounting/sales/receivables processes; strong logic, analytical, communication, and problem-solving skills; high attention to detail; effective teamwork and leadership capabilities.
Demonstrate a proactive, innovative mindset with the ability to work in a collaborative environment and contribute to the growth of technology-enabled products."
Deputy Head of Sales,1200.0,1.0,"Hanoi, Northern Vietnam","Develop and implement the sales strategy for the insurance department.
Lead, manage, and develop the insurance sales team to achieve targets.
Plan business objectives and set sales targets for individuals and the department.
Analyze the market and competitors; propose solutions to improve sales performance.
Build and maintain relationships with major clients; grow the existing client portfolio.
Monitor customer care processes and resolve issues that arise.
Provide periodic sales performance reports to the board and suggest product/service improvements based on customer feedback."
Sales Executive - Supermarket Channel,320.0,1.0,Hanoi,"Market research and identify new retail points in supermarkets and shopping centers within the area.
Support training and management of staff at points of sale.
Monitor and update sales activities at retail points.
Collaborate with supermarkets and malls to implement pop-up sales.
Monitor debt collection and remind agencies about payment and procurement plans.
Propose promotional programs, discount policies, incentives, and gifts for outlets; supervise promotion execution and report sales data."
Software Engineer - React Native / React Mobile (Odoo experience),800.0,0.0,Hanoi,"Develop and enhance software according to business requirements.
Collaborate with partner software companies to develop and modify software.
Work on systems such as software, e-commerce websites, DMS, BI updates (Looker), HR/production management (Odoo).
Provide technical support and post-implementation maintenance; operate and manage enterprise servers; ensure system stability with potential coordination with partner service companies.
Perform BA duties by gathering requirements from departments to analyze and design system features; contribute ideas to improve existing processes and technologies.
Candidates should have a university degree in Information Technology, Computer Science, or Computer Engineering; proficiency in Python and JavaScript; experience with React Native, React.js, and Odoo; strong skills in CSS/SCSS/LESS/HTML; databases (MySQL, PostgreSQL, MongoDB); Git; good English reading/writing; and willingness to work in Agile/Scrum environments."
Sales Officer (No Experience Required),480.0,1.0,Hanoi,"Develop and execute business plans to achieve sales targets.
Expand and manage the customer base; identify and qualify new clients.
Monitor sales activities and provide outstanding customer support before, during, and after sales.
Build and promote personal brand on social platforms (TikTok, Zalo, Facebook).
Collaborate in a professional, team-oriented, creative, and dynamic work environment.
Meet candidate requirements: university or college degree; age 25-40; interest in sales; prior sales, banking, insurance, or entrepreneurship experience is a plus."
Sales / Study Abroad Advisor,480.0,0.0,Hanoi,"Advise and introduce study abroad programs in Asian countries (Korea, China, Taiwan).
Negotiate and sign contracts with clients.
Participate in and organize counseling sessions at schools, and seminars/exhibitions about study abroad.
Nurture and develop relationships with clients.
Perform other tasks as directed by the supervisor."
Regional Sales Manager,600.0,1.0,Hanoi,"Identify, search for, and develop new distributors within the designated region.
Maintain existing customers and address issues arising at partner agencies.
Receive and track orders to ensure on-time progress as committed with distributors.
Monitor customer revenue performance and develop plans to drive growth and increase sales.
Travel may be required during the initial market development phase.
Perform other tasks as directed by the Sales Director."
ASM Equipment Sales Manager - Electrical Devices,720.0,2.0,Hanoi,"Responsible for the revenue and profitability of the Electrical Equipment Sales Department.
Develop and implement business plans to expand the customer base and ensure brand coverage.
Build and develop relationships with customers in the electrical equipment sector.
Prepare and present reports on business results, revenue, and costs; provide market forecasts to the General Director.
Coordinate with the Marketing department on marketing plans for the electrical equipment category.
Identify potential markets and monitor market dynamics, competitor activity, and new products; perform tasks as required by the General Director."
Senior Alcohol Beverage Sales Manager,600.0,3.0,Ho Chi Minh City,"Responsible for planning business strategy, targets, and annual budgeting; analyze and oversee business controls; develop and execute strategies to increase revenue.
Coordinate with Marketing to implement sales support policies and channel-specific marketing programs.
Analyze consumer trends in the wine and spirits market; collaborate with departments to offer products aligned with consumer tastes and diversify while meeting business criteria.
Recruitment, onboarding, training, assignment, planning, coaching, supervising, and evaluating performance.
Establish and expand the sales network, manage geographic coverage and assign sales targets to subordinates; set compensation and incentive schemes.
Build salary policies, target-setting, incentives, and other policies related to alcohol business in line with company direction.
Stay updated on industry trends and propose adjustments."
Key Channel Sales Associate (KA),320.0,1.0,Ho Chi Minh City,"Develop key account channels by covering and expanding the number of key customers in the designated area.
Expand the company’s product portfolio at the point of sale for key customers.
Meet or exceed sales/volume targets for the assigned region.
Execute business development objectives as assigned by the company over time.
Requirements: college or university graduate; basic knowledge of key account channels; minimum 2 years of experience in FMCG sales or conditional sales; experience in key account channels is a plus.
Demonstrates strong communication, negotiation, and sales skills; proficient in Microsoft Office; professional appearance and demeanor; disciplined, honest, and persistent."
Java Developer (3+ years),1000.0,0.0,Hanoi,"Participate in software project development across domains such as banking, finance, and international markets.
Design, code, and unit test software components.
Review code and support team members; collaborate across groups under team/PM direction.
Strong Java experience (minimum 3 years) with Spring MVC, Spring Boot, or Hibernate.
Familiarity with at least one frontend framework (Vue, React, or Angular) for UI development; understanding of HTML/CSS/JavaScript.
Experience with message queues (ActiveMQ, Kafka) and relational/NoSQL databases; Linux knowledge; ability to work independently and in a team."
Mobile Developer,680.0,0.0,"Hanoi, Vietnam","Design and develop mobile applications for banking and fintech projects.
Collaborate with the Product Owner, Project Manager, and Business Analyst to design, build, and deliver products.
Coordinate with Backend and UI/UX teams to define requirements and integrate APIs.
Work in teams or independently, communicating with supervisors and relevant stakeholders.
Requirements include experience with React Native or Flutter, and knowledge of architecture patterns (MVC, MVP, MVVM).
Familiarity with API connections (RESTful, gRPC, GraphQL, WebSocket) and local storage concepts; experience with design tools and Git workflows."
Regional Sales Manager - Northeast FMCG (ASM),760.0,2.0,Northern Vietnam,"Develop monthly, quarterly, and annual business strategies and ensure achievement of defined targets.
Manage, support, and develop the distribution channel network; recruit, train, and evaluate the regional sales team; ensure compliance with policies.
Collaborate with Marketing to implement Trade Marketing programs and promotional activities to enhance product visibility at points of sale and build brand awareness.
Identify and recruit new distributors in the assigned region; support and develop existing distributors; address issues within the region and guide daily team operations.
Analyze sales data, product quality, and competitive benchmarks; provide insights and recommendations to drive regional sales growth; oversee delivery, warehousing, and merchandising within the area.
Report directly to the National Sales Director; require travel across designated provinces; demonstrate strong communication and negotiation skills; work in a dynamic, supportive team environment."
Business Manager - Import & Export,600.0,2.0,Ho Chi Minh City,"Oversee all import and export operations, ensuring compliance with relevant laws and procedures.
Manage documentation for shipments, including import/export dossiers, contracts, and transfer procedures; verify accuracy of records during customs clearance.
Represent the company in meetings with customs authorities; classify duties and coordinate with stakeholders on regulatory requirements.
Monitor goods during transportation and stay updated on changes in import-export laws and regulations.
Advise on customs procedures, insurance requirements, and other regulatory issues related to logistics and trade.
Develop and implement business plans and strategies to meet company objectives, including market analysis and staff development."
Sales Administrator,500.0,1.0,"Ha Nam, Hanoi","Process and receive customer orders and coordinate shipments.
Handle shipment preparation and related logistics tasks.
Manage pricing operations and maintain pricing accuracy.
Serve as the primary contact window for customers and respond to inquiries.
Collect and analyze revenue information for the sales process.
Assess and investigate customer satisfaction to identify improvement opportunities."
"Bank Telesales Officer, Dong Da, Hanoi",320.0,0.0,Hanoi,"Make outbound calls to advise MB Bank products and provide customer care following scripts through two channels: OB Service (quality service and debt reminders) and OB Sales (selling MB Bank products).
Handle customer interactions professionally to meet sales and service objectives while adhering to banking guidelines.
Work location: MB Bank Headquarters, 21 Cat Linh Street, Dong Da, Hanoi.
Requirements: male or female, aged 20-33, diploma or higher; clear speech with no strong regional accent; experience in customer support or sales is a plus.
Salary: 8-12 million VND per month, with additional performance-based incentives."
Bridge System Engineer (BrSE),3400.0,0.0,"Hanoi, Vietnam","Collaborate directly with Japanese clients and work with them from requirements definition, design, and development phases.
Coordinate with offshore teams to investigate root causes and propose solutions for issues arising during the project.
Plan and monitor project progress to ensure timely delivery.
Perform quality checks on project outputs prior to handover to clients.
Strong communication, problem-solving, and negotiation skills are required; JLPT N1 level in Japanese is preferred.
Work location: Hanoi office; occasional interactions with Tokyo-based teams as needed."
Executive Secretary to CEO - English Proficiency,400.0,1.0,"Hai Phong, Vietnam","Receive, classify, and process information for the CEO, including drafting documents and reports.
Translate and interpret, and relay information between the CEO and relevant departments.
Manage the CEO's calendar, including domestic and international travel arrangements.
Organize CEO meetings: prepare attendees, distribute materials, record minutes, and monitor follow-ups.
Provide information support to internal departments and handle tasks assigned by the CEO and CEO's assistant.
Communicate with partners and coordinate external and internal communications for the CEO."
Business Analyst,960.0,3.0,Hanoi,"Analyze business requirements and translate them into system development requirements via URD, SRS, and API specifications.
Convey requirements clearly to the development and design teams, acting as a liaison between business and technical groups.
Ensure the product is built according to approved analysis and design documents by collaborating with the software testing team.
At least 3 years of experience as a business analyst, writing and managing URD/BRD, SRS, FRS for software projects; banking domain is a plus.
Proficient with office tools, Jira, Confluence, and BPMN software; basic data design knowledge (Oracle, MySQL).
Knowledge of APIs and microservices; strong presentation, negotiation, and communication skills; ability to work in teams and independently; Agile/Scrum is a plus; basic English."
ASM Equipment Manager,720.0,2.0,Hanoi,"Responsible for the revenue and profit of the Electronics Devices Sales Department.
Develop and implement business plans to expand the customer base and ensure brand coverage.
Build and develop relationships with customers in the electronics devices sector.
Report on business results, revenue, and costs; provide market forecasts to the General Director.
Coordinate with the Marketing department in plans for campaigns in the electronics devices category.
Identify potential markets and monitor market dynamics; stay updated on competitors and new products.
Perform tasks as required by the General Director."
"Senior Java Developer (Seasar, Spring Boot)",1200.0,0.0,"Ho Chi Minh City, Vietnam","Implement software architecture for the travel e-commerce ecosystem, covering domestic and international flight, hotel, and online travel bookings.
Design, develop, and optimize performance of the product on the Java platform.
Keep up to date with the latest technologies and techniques to improve the solution.
This is a long-term project with stable employment opportunities.
On-site location: 90 Nguyen Dinh Chieu, Da Kao, District 1, Ho Chi Minh City.
Requirements: Bachelor's degree in IT or equivalent; minimum of 5 years Java programming experience; strong knowledge of algorithms, OOP, Java/JEE and Spring (DI, AOP, IoC); experience with Web services (MVC, RESTful, SOAP) and SQL/JDBC with ORM/Hibernate (MySQL, Oracle)."
Game Backend Developer,800.0,0.0,"Hanoi, Vietnam","Develop and maintain the backend system for mobile games using Node.js.
Design and implement system architecture to ensure high performance, stability, and scalability.
Optimize systems to support a large number of concurrent users.
Collaborate closely with frontend developers and Game Designers to implement new features.
Troubleshoot and resolve incidents, ensuring continuous system operation.
Participate in requirements analysis and propose technical solutions."
Sales/Business Development/Consultant,400.0,1.0,Ho Chi Minh City,"Identify and engage potential customers and provide consultative sales to close deals.
Manage and develop existing customer databases.
Negotiate design and construction contracts.
Monitor contract progress and coordinate with customer service and procurement to fulfill orders for partners.
Education in business administration, commerce, construction, architecture, interior design, foreign trade, or related fields; 1 year of experience; preference for candidates from hospitality, materials, furniture, or industrial product marketing backgrounds.
Demonstrate strong communication, creativity, dynamism, and high responsibility toward work."
Front End Developer (Angular),720.0,3.0,Hanoi,"Develop front-end for the website layer and implement UI for products in collaboration with backend developers.
Work onsite at the client's office in central Hanoi to deliver optimized and polished interfaces.
Must have at least 3 years of frontend experience, including 2+ years with Angular.
Strong knowledge of JavaScript (ES6+), TypeScript, and modern web development practices.
Experience with UI frameworks such as Ant Design, Bootstrap, or PrimeNG and with form handling and validation in Angular.
Ability to read English documentation and communicate effectively in a technical team."
Real Estate Sales and Advisory Associate,280.0,0.0,Hanoi,"Identify and approach potential clients and introduce the company's real estate products.
Provide consultation and support to clients throughout the transaction process.
Keep up-to-date with the real estate market and rapidly understand client needs.
Assist with transaction procedures and negotiate contracts.
Maintain and grow the existing client base while prospecting for new leads.
Participate in developing business and marketing strategies and propose marketing options."
Senior Tax Accounting Consultant,600.0,2.0,Hanoi,"Provide tax and accounting advisory services for clients to ensure compliance and efficiency in tax accounting practices.
Deliver comprehensive accounting and tax services for clients, including preparation and review of financial statements.
Assist clients in preparing VAT, PIT, CIT, and FCT reports.
Advise clients on tax and accounting inquiries and ensure timely responses.
Manage and train staff in delivering high-quality tax and accounting services.
Collaborate with clients and internal teams to optimize tax planning and service delivery."
Automation Tester (Banking Project),1040.0,2.0,Hanoi,"Plan and design test strategy and test cases for Web, Mobile, and API products.
Execute automated tests and generate detailed test reports.
Research and stay updated with new tools and knowledge to support testing activities.
Collaborate with development teams to ensure quality and timely delivery.
Demonstrate proficiency with Selenium and Serenity framework.
Possess at least 2 years of experience in automation testing on development projects; strong knowledge of API testing and basic testing fundamentals.
Preferred: experience in automation testing across API, Web, Mobile, and performance/security testing."
Java Engineer,1000.0,0.0,"Hanoi, Vietnam","Gather and analyze client requirements, write requirement analysis documents, specification, and detailed design, including database design.
Develop assigned functionalities according to the detailed solution documents.
Identify, fix, and resolve defects found during development and deployment.
Write and execute unit tests.
Integrate code and system components; merge code and implement system integration.
Design modules and components according to the existing architecture; prepare installation, operation, and exploitation guides."
"Sales Admin Officer with 1 Year Experience - Dong Da, Hanoi",320.0,1.0,Hanoi,"Approve, process orders, and generate sales invoices.
Receive and resolve customer feedback related to business activities.
Support the sales department by providing documents, policy materials, tools, and market development assistance.
Understand and classify customers to tailor appropriate care policies.
Assist the sales team in designing promotions, gifts, and customer appreciation programs.
Monitor debt collection and payment progress; prepare periodic sales reports for management and track sales staff attendance and rewards."
Store Manager (Female candidates only) - Hanoi,480.0,2.0,Hanoi,"Manage overall store inventory, staff, customer relations, and related issues affecting in-store and external operations.
Train, guide, supervise, and monitor sales techniques and customer service by the store team.
Inspire and energize the staff to maintain high engagement and productivity.
Connect staff across stores to create a unified brand-wide sales service network and foster collaboration.
Prepare weekly and monthly store performance reports.
Requires at least 2 years of experience in a similar role; interest in fashion; honest, cheerful, sociable, proactive; ability to work under high pressure; female candidates only."
Senior Java Developer (Training to Team Leader),2400.0,0.0,"Hanoi, Vietnam","Collaborate with the project manager on a Japanese project to manage tasks and deliverables.
Design and implement software development processes, and establish software quality management standards within the company.
Contribute to the company's internal product development project.
Perform effort estimation, conduct source code reviews, and manage project timelines.
Assess team members' capabilities and assign tasks accordingly.
Report project progress and propose solutions to the project manager."
Project Management Specialist,600.0,2.0,Hanoi,"Coordinate overall project activities, including requirements gathering, analysis, system design, planning, and implementation.
Plan and manage project schedule and milestones.
Manage project scope, initial workload, and change requests.
Allocate and control resources including costs, personnel, technology, and time.
Communicate with clients, partners, and internal units to ensure project delivery.
Maintain project documentation and reports on progress, quality, and issues; build and manage project teams."
Sales Executive Fluent in Chinese and English (Data Provided - Commission 26%-40%),300.0,1.0,Ho Chi Minh City,"Advise and service potential clients by coordinating with Marketing to receive leads, proactively contacting prospects, and presenting flexible office rental solutions that fit needs, budget, and preferred location.
Conduct site surveys and evaluate buildings/offices to provide accurate, detailed information for clients.
Arrange and assist clients to tour available office spaces for rent across buildings.
Support clients through price negotiations, contract terms, and related legal procedures.
Identify and develop potential clients, manage deal closures, and earn commission as a percentage of sales.
Maintain and update the office rental listings in the CRM, maintain relationships with building owners/investors, and ensure timely information flow."
"Bank Telesales Officer, Dong Da District, Hanoi",320.0,0.0,Hanoi,"Position involves outbound calls to advise on banking products and provide customer care following predefined scripts through two channels: Service and Sales.
Channel OB Service focuses on call scripts about service quality and debt reminders; Channel OB Sales focuses on selling bank products.
Location: 21 Cat Linh, Dong Da District, Hanoi.
Requirements: male or female, aged 20–33; education from junior college or higher; clear speaking ability (no heavy dialects, stuttering, or strong regional accent).
Experience in customer support, care, or sales is advantageous; for female candidates, not pregnant in the first year is requested.
Compensation and incentives: average monthly income 8–12 million VND (base salary 6,500,000–6,850,000 VND); training allowance 700,000 VND per course; KPI bonus up to 4,000,000 VND per month; eligibility for overtime to increase income (1.5x or 2x the base salary). Overtime and full salary during probation (2 months) as stated."
Sales Manager,1000.0,2.0,Ho Chi Minh City,"Manage and train sales staff in electronics/electronic locking products.
Oversee the full sales process across online and offline channels.
Be responsible for revenue targets and report to the supervisor.
Perform additional tasks as requested by management.
Work location: Head Office, Binh Thanh District; working hours 8:00-17:00.
Requirements: Female candidates aged 25-35; university degree or higher; at least 2 years of sales management experience in electronics devices/electronic locks; experience in online sales and showroom chains is advantageous; leadership experience."
Fullstack Developer (English) - from 2-7 years of experience,800.0,2.0,"Hanoi, Vietnam","Participate in developing client Web projects by analyzing requirements, designing system architecture, and designing databases, and implementing features.
Work within Agile/Scrum methodology, including sprint planning, execution, monitoring, and reporting progress.
Support training, share knowledge, and perform code reviews for team members; participate in building and leading the team if experienced.
Research and evaluate new technologies to apply to projects.
Requirements: Diploma/University degree in IT or related; at least 1 year of Web Development experience with backend Node.js (Express, NestJS) or similar frameworks (PHP Laravel, Rails, etc.).
At least 1 year of experience with frontend frameworks (React/Next.js or Vue/Nuxt.js); solid Web development knowledge (HTML/CSS/JavaScript) and responsive web design; knowledge of OOP, coding conventions, and architecture patterns (MVC, MVP, MVVM)."
IT Help Desk Specialist,360.0,0.0,Ho Chi Minh City,"Manage company IT assets (computers, desk phones, cameras, projectors, scanners, and other IT equipment).
Build, replace, repair, and upgrade computer hardware and peripherals.
Propose timely repair or replacement to prevent and resolve issues within scope.
Install operating systems and office software on end-user devices; set up networks and workstations for new staff/projects.
Administer user accounts and IT infrastructure (domains, domain controllers, internet access monitoring); coordinate project deployment information with relevant departments.
Monitor and respond to user requests; troubleshoot network, systems, and hardware; ensure stable internal network operations."
Sales Manager,480.0,3.0,Hanoi,"Build, manage, and develop the sales team.
Train and guide the sales staff to improve skills and performance.
Monitor and evaluate the performance of sales staff on a regular basis.
Ensure achievement of business targets in terms of sales, market share, and product coverage.
Develop market development strategy, identify new customers, and maintain relationships with existing customers.
Track daily sales activities and support problem resolution for the team.
Collect market information, prepare regular sales reports (weekly/monthly/quarterly), and analyze business results."
Junior SRE,600.0,1.0,Hanoi,"Design, build, and deploy application systems to ensure high availability, clustering, and distributed architectures.
Develop and customize solutions to collect, analyze, process, and interface data on IT systems deployed for ISPs.
Develop, customize, and integrate new features into monitoring systems for major customers using open-source technologies.
Develop and expand automation tools such as Ansible and SaltStack to support deployment and operation of large-scale systems.
Convert and deploy solution sets on Cloud Native architectures for products across teams and departments, including public and private clouds.
Research and develop SDN solutions, public cloud (AWS, GCP, Azure), private cloud (OpenStack), and hybrid cloud environments; participate in IT operations support for customers.
Leverage HA/cluster/distributed designs, TSDB/SQLNoSQL, Elasticsearch, config management (Ansible/Jenkins/SaltStack), Unix/Linux, and container technologies (Kubernetes) to deliver reliable systems."
Business Manager - Import-Export,600.0,2.0,Ho Chi Minh City,"Oversee the company's import and export operations end-to-end.
Manage procedures and documents for imports and exports, including bills of lading, contracts, and transfer procedures.
Receive, verify, and reconcile shipment documents to ensure accuracy during customs clearance.
Represent the company in meetings with customs authorities and classify duties applicable to shipments.
Monitor goods during transportation and stay updated on changes in import-export laws and regulations.
Plan and develop business strategies, manage staff, and train the team to achieve targets."
Sales Manager (New ALPHA Project),1400.0,1.0,Hanoi,"Develop and execute sales plans to grow revenue and customer base.
Develop customer portfolio and supervise day-to-day sales activities.
Support customers before, during, and after sales to ensure satisfaction.
Build and promote personal brand on social platforms such as TikTok, Zalo, and Facebook.
Qualifications: Diploma or university degree; age 25-40; interest in sales, consulting, professional presentation, and willingness to learn; preferred: experience in sales, banking, or insurance."
Head of Sales,1000.0,1.0,Hanoi,"Lead and manage the sales team to achieve growth, revenue, and KPI targets.
Support and supervise the execution of the business plan; report results and forecasts to senior management.
Develop and expand the customer base by building relationships with clients and partners in the company's business domain.
Strengthen customer care and implement mechanisms to increase and maintain revenue.
Design and optimize the sales process from planning to closing deals.
Assign sales targets, monitor team performance, and adjust strategies accordingly.
Analyze market trends and develop, implement, and refine the sales plan."
Dentist,400.0,1.0,Thai Binh,"Inspect, diagnose, and treat dental and maxillofacial conditions through examinations and patient consultations.
Greet and register patients, coordinating with reception for patient flow.
Order and interpret essential tests to aid dental and maxillofacial diagnosis and treatment planning.
Perform professional dental procedures including orthodontics, cosmetic dentistry, and dental implant placements as directed.
Inspect and maintain medical equipment, supplies, and medications to ensure readiness for patient care.
Contribute to general clinic operations and implement new treatment approaches as appropriate."
Automation Tester,1080.0,2.0,Hanoi,"Design test cases and write automation scripts.
Define, develop, implement, and maintain automation test scripts.
Collaborate with the manual testing team to understand project goals and business workflows to determine automation scope.
Propose improvements to enhance automation testing efficiency and design corresponding automation test scenarios.
Proactively report work progress and evaluate the effectiveness of automation testing for the current project on a weekly and monthly basis.
Perform non-functional testing including security and performance testing."
Sales Executive / Sales Representative / Consultant - Immediate Start in Hanoi and Binh Duong,360.0,1.0,"Hanoi and Binh Duong, Vietnam","Market and sell company products in Vietnam to achieve growth and sales targets.
Generate business leads for building materials and wood panel products and follow up sales opportunities.
Track and monitor customer payments, ensure timely collection, manage credit terms and limits.
Provide regular sales activity reports and conduct periodic sales presentations.
Maintain customer database and participate in marketing campaigns such as exhibitions and trade shows.
Conduct market research, analyze competitors, and communicate findings to management."
Financial Consultant / Sales Associate (Telesales),320.0,0.0,"Hanoi, Ho Chi Minh City","Conduct telesales to recommend suitable loan packages for SMEs and provide guidance on loan registration.
Engage with banking partners to ensure platform operational targets are met.
Provide customer support via hotline and handle loan consultation requests through internal channels and marketing.
Collaborate with the product and customer service teams to improve customer experience and drive sales opportunities.
Maintain up-to-date knowledge of loan products and financing concepts; effectively communicate benefits to clients.
Meet or exceed daily/weekly sales targets and contribute to team performance while delivering professional service."
Nurse (Dermatology) - Female - Immediate Start,800.0,1.0,Ho Chi Minh City,"Assist physicians in performing dermatology treatments and related procedures.
Directly perform basic injection and related services as part of treatment.
Provide patient counseling and answer questions during treatment; instruct on medication usage.
Conduct nursing duties relevant to dermatology and internal medicine contexts.
Support patient care by preparing instruments, maintaining sterile conditions, and documenting procedures.
Assist with basic postoperative or follow-up care as part of the treatment plan."
Sales Manager,500.0,1.0,"Ha Nam, Hanoi, Vietnam","Handle order intake and ensure accurate processing of customer orders.
Manage order fulfillment and related logistics coordination.
Oversee pricing and rate card administration.
Serve as the primary point of contact for customers and maintain communication.
Collect and analyze revenue information to monitor financial performance.
Investigate and measure customer satisfaction levels and implement improvements."
Regional Sales Manager - Nationwide,400.0,1.0,An Giang and 28 other locations nationwide,"Lead regional sales teams without direct selling to drive performance.
Advise leadership and develop plans to organize and execute sales activities.
Oversee operations of the regional board/team to achieve business targets while ensuring compliance with regulations and processes.
Plan and implement sales activities for the board/teams.
Plan, organize, and support recruitment and development of the sales network.
Train and coach agents on product knowledge and sales skills.
Monitor sales activities and motivate the agent network to achieve targets."
"Sales / Consulting / Telesales Officer (No Experience Required, Hot Data, Weekends Off)",240.0,0.0,"Hanoi, Vietnam","Make outbound and inbound calls to customers using hot data provided by the company to advise and sell.
Work with warm data and avoid cold outreach; no need to travel for work.
Online education and training environment; 5-day workweek with weekends off (Saturday and Sunday).
Female candidates and Gen Z are preferred; fresh graduates or those with no experience will receive training and guidance.
Demonstrate passion for sales, advisory, and customer communication; maintain honesty, meticulousness, logical thinking, and resilience under pressure.
Career development and training programs in marketing and practical sales; potential leadership opportunities after 6–12 months; official contract after 2-month probation; standard benefits and annual leave."
Assistant to Deputy General Director - Business,400.0,2.0,Hanoi,"Set sales targets and build sales plans and proposals for the Deputy General Director.
Organize information management and customer care processes.
Oversee intake and processing of orders.
Track and push debt collection activities in coordination with the Accounting Department.
Manage and lead the team responsible for the area, including coaching and training.
Prepare for and participate in meetings as directed by the Deputy General Director."
Penetration Tester (Information Security Assurance),680.0,2.0,Hanoi,"Monitor 24/7 security alerts on client information systems and create incident tickets for detected issues.
Define the scope of attacks, investigate root causes, and coordinate rapid incident response and containment.
Manage and configure security monitoring tools; conduct vulnerability scanning and remediation.
Develop and implement security playbooks and training materials; contribute to security operation procedures.
Perform security testing (OWASP-aligned) across web, mobile, and API applications using blackbox, graybox, and whitebox approaches; review source code as needed.
Participate in pentest projects for financial, government, and SOE sectors; exploit post-compromise activities and advanced techniques; research 0-day bugs and PoCs."
Business Development Manager (Remote),1000.0,3.0,Ho Chi Minh City,"Develop and drive business strategy to achieve growth objectives.
Monitor market trends, customer demand, and competitive landscape to adjust advertising and sales strategies.
Supervise and evaluate sales team performance and implement productivity improvements.
Manage customer relationships and provide periodic reports on business results with proposed enhancements.
Ensure business strategies align with the company's overall goals.
Qualifications: Bachelor's degree in Business Administration, Marketing, or related fields; 3-5 years experience in business or e-commerce sales; 2-3 years in a management role; strong leadership, communication, negotiation, presentation, and training skills."
Agricultural Products Business Manager,600.0,3.0,Hanoi,"Plan, organize, and oversee distribution activities of agricultural products from producers to agents, retailers, supermarkets, and end consumers.
Build and maintain strong relationships with business partners, customers, and stakeholders in the distribution channel.
Research and analyze market demand, customer behavior, competition, and trends to propose effective distribution strategies and programs.
Manage and develop the distribution sales team, including training, guidance, and performance evaluation.
Monitor, control, and report on sales, costs, profits, inventory, quality, and service across the distribution channel.
Resolve issues, complaints, and feedback from customers and stakeholders within the distribution channel.
Propose and implement promotions, advertising, and sales support activities for the distribution channel."
